ano,sigla_uf,id_municipio,produto,area_plantada,area_colhida,quantidade_produzida,rendimento_medio_producao,valor_producao,Nome_Município
2022,PR,4108452,Alho,1.0,1.0,3.0,3000.0,36.0,Foz do Jordão
2022,PR,4117602,Alho,1.0,1.0,8.0,8000.0,116.0,Palmas
2022,PR,4104501,Alho,1.0,1.0,4.0,4000.0,51.0,Capanema
2022,PR,4102752,Alho,1.0,1.0,4.0,4000.0,51.0,Bela Vista da Caroba
2022,MG,3147303,Alho,1.0,1.0,8.0,8000.0,80.0,Paraisópolis
2022,PR,4127858,Alho,1.0,1.0,5.0,5000.0,60.0,Três Barras do Paraná
2022,PR,4120655,Alho,1.0,1.0,2.0,2000.0,24.0,Quarto Centenário
2022,PR,4103057,Alho,1.0,1.0,5.0,5000.0,69.0,Boa Vista da Aparecida
2022,PR,4117305,Alho,1.0,1.0,3.0,3000.0,36.0,Ortigueira
2022,PR,4124806,Alho,1.0,1.0,5.0,5000.0,73.0,São João
2022,MG,3106705,Alho,1.0,1.0,5.0,5000.0,50.0,Betim
2022,PR,4121752,Alho,1.0,1.0,2.0,2000.0,24.0,Reserva do Iguaçu
2022,PR,4108502,Alho,1.0,1.0,3.0,3000.0,24.0,General Carneiro
2022,MG,3106309,Alho,1.0,1.0,6.0,6000.0,60.0,Belo Oriente
2022,PR,4103024,Alho,1.0,1.0,4.0,4000.0,54.0,Boa Esperança do Iguaçu
2022,PR,4117057,Alho,1.0,1.0,2.0,2000.0,22.0,Nova Laranjeiras
2022,MG,3107901,Alho,1.0,1.0,7.0,7000.0,77.0,Bom Repouso
2022,PR,4106100,Alho,1.0,1.0,5.0,5000.0,64.0,Conselheiro Mairinck
2022,PR,4126272,Alho,1.0,1.0,5.0,5000.0,58.0,Saudade do Iguaçu
2022,PR,4106308,Alho,1.0,1.0,1.0,1000.0,20.0,Corbélia
2022,PR,4111407,Alho,1.0,1.0,3.0,3000.0,41.0,Ivaí
2022,PR,4119905,Alho,1.0,1.0,3.0,3000.0,18.0,Ponta Grossa
2022,PR,4114351,Alho,1.0,1.0,4.0,4000.0,54.0,Manfrinópolis
2022,PR,4108650,Alho,1.0,1.0,2.0,2000.0,24.0,Goioxim
2022,MG,3113008,Alho,1.0,1.0,4.0,4000.0,40.0,Caraí
2022,PR,4114104,Alho,1.0,1.0,10.0,10000.0,130.0,Mandaguaçu
2022,PR,4122503,Alho,1.0,1.0,1.0,1000.0,15.0,Roncador
2022,PR,4128203,Alho,1.0,1.0,3.0,3000.0,24.0,União da Vitória
2022,PR,4128609,Alho,1.0,1.0,4.0,4000.0,54.0,Verê
2022,MG,3155603,Alho,1.0,1.0,8.0,8000.0,80.0,Rio Pardo de Minas
2022,PR,4110508,Alho,1.0,1.0,3.0,3000.0,18.0,Ipiranga
2022,MG,3119500,Alho,1.0,1.0,6.0,6000.0,60.0,Coronel Murta
2022,PR,4110201,Alho,1.0,1.0,3.0,3000.0,43.0,Inácio Martins
2022,PR,4115804,Alho,1.0,1.0,4.0,4000.0,47.0,Medianeira
2022,PR,4120309,Alho,1.0,1.0,4.0,4000.0,32.0,Porto Vitória
2022,PR,4104303,Alho,1.0,1.0,1.0,1000.0,1.0,Campo Mourão
2022,PR,4105508,Alho,1.0,1.0,5.0,5000.0,75.0,Cianorte
2022,PR,4118808,Alho,1.0,1.0,3.0,3000.0,36.0,Peabiru
2022,PR,4112959,Alho,1.0,1.0,2.0,2000.0,24.0,Juranda
2022,MG,3106408,Alho,1.0,1.0,4.0,4000.0,38.0,Belo Vale
2022,PR,4115309,Alho,1.0,1.0,5.0,5000.0,73.0,Mariópolis
2022,PR,4115507,Alho,1.0,1.0,2.0,2000.0,25.0,Marumbi
2022,PR,4102901,Alho,1.0,1.0,3.0,3000.0,24.0,Bituruna
2022,MG,3160405,Alho,1.0,1.0,5.0,5000.0,53.0,Santo Antônio do Monte
2022,PR,4118709,Alho,1.0,1.0,4.0,4000.0,16.0,Paulo Frontin
2022,MG,3132008,Alho,1.0,1.0,6.0,6000.0,60.0,Itacambira
2022,PR,4107207,Alho,1.0,1.0,4.0,4000.0,54.0,Dois Vizinhos
2022,MG,3100500,Alho,1.0,1.0,5.0,5000.0,49.0,Açucena
2022,PR,4101002,Alho,1.0,1.0,4.0,4000.0,51.0,Ampére
2022,PR,4107553,Alho,1.0,1.0,2.0,2000.0,24.0,Farol
2022,PR,4117255,Alho,1.0,1.0,4.0,4000.0,51.0,Nova Prata do Iguaçu
2022,PR,4114005,Alho,1.0,1.0,3.0,3000.0,36.0,Mamborê
2022,MG,3126505,Alho,1.0,1.0,6.0,6000.0,60.0,Francisco Badaró
2022,PR,4106571,Alho,1.0,1.0,4.0,4000.0,54.0,Cruzeiro do Iguaçu
2022,PR,4103958,Alho,1.0,1.0,2.0,2000.0,24.0,Campina do Simão
2022,PR,4108957,Alho,1.0,1.0,4.0,4000.0,59.0,Guamiranga
2022,PR,4123824,Alho,1.0,1.0,3.0,3000.0,60.0,Santa Lúcia
2022,MG,3107109,Alho,1.0,1.0,5.0,5000.0,51.0,Boa Esperança
2022,PR,4103156,Alho,1.0,1.0,4.0,4000.0,54.0,Bom Jesus do Sul
2022,PR,4105409,Alho,1.0,1.0,5.0,5000.0,49.0,Chopinzinho
2022,PR,4107306,Alho,1.0,1.0,5.0,5000.0,8.0,Doutor Camargo
2022,PR,4116950,Alho,1.0,1.0,4.0,4000.0,54.0,Nova Esperança do Sudoeste
2022,PR,4120358,Alho,1.0,1.0,4.0,4000.0,51.0,Pranchita
2022,MG,3102704,Alho,1.0,1.0,3.0,3000.0,30.0,Cachoeira de Pajeú
2022,PR,4121604,Alho,1.0,1.0,4.0,4000.0,54.0,Renascença
2022,PR,4119400,Alho,1.0,1.0,3.0,3000.0,32.0,Piraí do Sul
2022,PR,4123808,Alho,1.0,1.0,4.0,4000.0,51.0,Santa Izabel do Oeste
2022,PR,4104428,Alho,1.0,1.0,2.0,2000.0,24.0,Candói
2022,PR,4112207,Alho,1.0,1.0,3.0,3000.0,36.0,Janiópolis
2022,PR,4126306,Alho,1.0,1.0,3.0,3000.0,32.0,Sengés
2022,MG,3111200,Alho,1.0,1.0,5.0,5000.0,51.0,Campo Belo
2022,SP,3505351,Alho,1.0,1.0,4.0,4000.0,60.0,Barra do Chapéu
2022,PR,4119301,Alho,1.0,1.0,2.0,2000.0,24.0,Pinhão
2022,PR,4118600,Alho,1.0,1.0,4.0,4000.0,32.0,Paula Freitas
2022,PR,4121406,Alho,1.0,1.0,4.0,4000.0,51.0,Realeza
2022,PR,4125704,Alho,1.0,1.0,4.0,4000.0,47.0,São Miguel do Iguaçu
2022,MG,3130101,Alho,1.0,1.0,6.0,6000.0,56.0,Igarapé
2022,MG,3144805,Alho,1.0,1.0,7.0,7000.0,71.0,Nova Lima
2022,PR,4107405,Alho,1.0,1.0,4.0,4000.0,54.0,Enéas Marques
2022,MG,3135456,Alho,1.0,1.0,2.0,2000.0,19.0,Jenipapo de Minas
2022,PR,4121257,Alho,1.0,1.0,1.0,1000.0,12.0,Ramilândia
2022,PR,4125209,Alho,1.0,1.0,4.0,4000.0,54.0,São Jorge d'Oeste
2022,MG,3128253,Alho,1.0,1.0,3.0,3000.0,30.0,Guaraciama
2022,PR,4107850,Alho,1.0,1.0,4.0,4000.0,54.0,Flor da Serra do Sul
2022,PR,4112009,Alho,1.0,1.0,3.0,3000.0,32.0,Jaguariaíva
2022,MG,3108107,Alho,1.0,1.0,5.0,5000.0,51.0,Bonfim
2022,PR,4111209,Alho,1.0,1.0,5.0,5000.0,73.0,Itapejara d'Oeste
2022,MG,3114501,Alho,1.0,1.0,10.0,10000.0,105.0,Carmópolis de Minas
2022,PR,4106506,Alho,1.0,1.0,5.0,5000.0,73.0,Coronel Vivida
2022,PR,4107751,Alho,1.0,1.0,5.0,5000.0,64.0,Figueira
2022,PR,4124053,Alho,1.0,1.0,5.0,5000.0,59.0,Santa Terezinha de Itaipu
2022,PR,4119251,Alho,1.0,1.0,4.0,4000.0,51.0,Pinhal de São Bento
2022,PR,4102604,Alho,1.0,1.0,4.0,4000.0,54.0,Barracão
2022,PR,4110805,Alho,1.0,1.0,1.0,1000.0,15.0,Iretama
2022,PR,4115408,Alho,1.0,1.0,4.0,4000.0,54.0,Marmeleiro
2022,SP,3512704,Alho,1.0,1.0,6.0,6000.0,60.0,Corumbataí
2022,PR,4110078,Alho,1.0,1.0,3.0,3000.0,36.0,Imbaú
2022,PR,4124400,Alho,1.0,1.0,4.0,4000.0,51.0,Santo Antônio do Sudoeste
2022,PR,4127502,Alho,1.0,1.0,3.0,3000.0,36.0,Tibagi
2022,MG,3103405,Alho,1.0,1.0,5.0,5000.0,50.0,Araçuaí
2022,PR,4119004,Alho,1.0,1.0,4.0,4000.0,51.0,Pérola d'Oeste
2022,PR,4128708,Alho,1.0,1.0,5.0,5000.0,73.0,Vitorino
2022,PR,4103222,Alho,1.0,1.0,5.0,5000.0,55.0,Bom Sucesso do Sul
2022,PR,4103909,Alho,1.0,1.0,2.0,2000.0,24.0,Campina da Lagoa
2022,PR,4121505,Alho,1.0,1.0,4.0,4000.0,59.0,Rebouças
2022,PR,4126652,Alho,1.0,1.0,5.0,5000.0,58.0,Sulina
2022,PR,4119806,Alho,1.0,1.0,4.0,4000.0,51.0,Planalto
2022,PR,4121703,Alho,1.0,1.0,3.0,3000.0,36.0,Reserva
2022,PR,4123006,Alho,1.0,1.0,4.0,4000.0,51.0,Salto do Lontra
2022,PR,4101309,Alho,1.0,1.0,3.0,3000.0,12.0,Antônio Olinto
2022,MG,3135100,Alho,2.0,2.0,12.0,6000.0,120.0,Janaúba
2022,PR,4101705,Alho,2.0,2.0,4.0,2000.0,48.0,Araruna
2022,MG,3136702,Alho,2.0,2.0,13.0,6500.0,130.0,Juiz de Fora
2022,PR,4108403,Alho,2.0,2.0,9.0,4500.0,121.0,Francisco Beltrão
2022,PR,4118501,Alho,2.0,2.0,10.0,5000.0,145.0,Pato Branco
2022,MG,3108503,Alho,2.0,2.0,10.0,5000.0,100.0,Botumirim
2022,PR,4114906,Alho,2.0,2.0,6.0,3000.0,75.0,Marilândia do Sul
2022,MG,3102852,Alho,2.0,2.0,6.0,3000.0,72.0,Angelândia
2022,PR,4102505,Alho,2.0,2.0,3.0,1500.0,36.0,Barbosa Ferraz
2022,PR,4113908,Alho,2.0,2.0,10.0,5000.0,42.0,Mallet
2022,MG,3105608,Alho,2.0,2.0,22.0,11000.0,182.0,Barbacena
2022,PR,4107009,Alho,2.0,2.0,8.0,4000.0,96.0,Curiúva
2022,PR,4106803,Alho,2.0,2.0,6.0,3000.0,48.0,Cruz Machado
2022,PR,4122008,Alho,2.0,2.0,8.0,4000.0,34.0,Rio Azul
2022,MG,3105103,Alho,2.0,2.0,21.0,10500.0,200.0,Bambuí
2022,PR,4104055,Alho,2.0,2.0,9.0,4500.0,123.0,Campo Bonito
2022,PR,4107157,Alho,2.0,2.0,7.0,3500.0,77.0,Diamante D'Oeste
2022,PR,4111704,Alho,2.0,2.0,14.0,7000.0,179.0,Jaboti
2022,PR,4120101,Alho,2.0,2.0,5.0,2500.0,30.0,Porto Amazonas
2022,PR,4127965,Alho,2.0,2.0,5.0,2500.0,59.0,Turvo
2022,MG,3169703,Alho,2.0,2.0,9.0,4500.0,108.0,Turmalina
2022,PR,4110706,Alho,2.0,2.0,8.0,4000.0,119.0,Irati
2022,MG,3126109,Alho,2.0,2.0,20.0,10000.0,197.0,Formiga
2022,MG,3109105,Alho,2.0,2.0,25.0,12500.0,250.0,Bueno Brandão
2022,MG,3142254,Alho,2.0,2.0,10.0,5000.0,105.0,Miravânia
2022,PR,4103354,Alho,2.0,2.0,6.0,3000.0,120.0,Braganey
2022,PR,4111803,Alho,2.0,2.0,10.0,5000.0,115.0,Jacarezinho
2022,PR,4122909,Alho,2.0,2.0,12.0,6000.0,138.0,Salto do Itararé
2022,MG,3118106,Alho,2.0,2.0,10.0,5000.0,100.0,Congonhas do Norte
2022,PR,4107736,Alho,2.0,2.0,13.0,6500.0,193.0,Fernandes Pinheiro
2022,PR,4108601,Alho,2.0,2.0,2.0,1000.0,24.0,Goioerê
2022,PR,4127007,Alho,2.0,2.0,7.0,3500.0,104.0,Teixeira Soares
2022,PR,4105003,Alho,2.0,2.0,6.0,3000.0,120.0,Catanduvas
2022,PR,4116109,Alho,2.0,2.0,6.0,3000.0,72.0,Moreira Sales
2022,MG,3113503,Alho,2.0,2.0,10.0,5000.0,120.0,Carbonita
2022,MG,3135407,Alho,2.0,2.0,12.0,6000.0,120.0,Jeceaba
2022,SP,3550605,Alho,2.0,2.0,10.0,5000.0,93.0,São Roque
2022,PR,4119202,Alho,2.0,2.0,12.0,6000.0,153.0,Pinhalão
2022,PR,4104451,Alho,2.0,2.0,4.0,2000.0,46.0,Cantagalo
2022,PR,4104709,Alho,2.0,2.0,8.0,4000.0,92.0,Carlópolis
2022,MG,3165909,Alho,2.0,2.0,15.0,7500.0,150.0,Senador Modestino Gonçalves
2022,MG,3140159,Alho,2.0,2.0,32.0,16000.0,320.0,Mário Campos
2022,MG,3147600,Alho,2.0,2.0,18.0,9000.0,171.0,Passa Quatro
2022,PR,4110102,Alho,2.0,2.0,8.0,4000.0,119.0,Imbituva
2022,MG,3160454,Alho,2.0,2.0,10.0,5000.0,100.0,Santo Antônio do Retiro
2022,PR,4112900,Alho,2.0,2.0,8.0,4000.0,92.0,Jundiaí do Sul
2022,PR,4116703,Alho,2.0,2.0,7.0,3500.0,92.0,Nova Aurora
2022,MG,3110608,Alho,2.0,2.0,16.0,8000.0,152.0,Cambuí
2022,PR,4110052,Alho,2.0,2.0,6.0,3000.0,114.0,Iguatu
2022,MG,3143302,Alho,2.0,2.0,20.0,10000.0,200.0,Montes Claros
2022,PR,4122800,Alho,2.0,2.0,9.0,4500.0,121.0,Salgado Filho
2022,PR,4112306,Alho,2.0,2.0,14.0,7000.0,179.0,Japira
2022,MG,3157005,Alho,2.0,2.0,9.0,4500.0,90.0,Salinas
2022,PR,4124004,Alho,2.0,2.0,10.0,5000.0,106.0,Santana do Itararé
2022,PR,4125753,Alho,2.0,2.0,4.0,2000.0,40.0,São Pedro do Iguaçu
