Município,Área colhida (Hectares),Valor da produção (Mil Reais)
São José do Rio Preto,1148029,11883304
Jales,75828,851373
Aparecida d'Oeste,1446,15146
Aspásia,1002,12188
Dirce Reis,2025,21723
Dolcinópolis,3003,36516
Jales,5971,75879
Marinópolis,560,5101
Mesópolis,7323,75771
Nova Canaã Paulista,1708,16209
Palmeira d'Oeste,575,5763
Paranapuã,6362,94419
Pontalinda,7200,94049
Populina,11640,123620
Rubinéia,3222,30098
Santa Albertina,7154,77353
Santa Clara d'Oeste,322,2343
Santa Fé do Sul,309,2740
Santa Rita d'Oeste,6630,65283
Santa Salete,231,2729
Santana da Ponte Pensa,1983,17124
São Francisco,1480,17608
Três Fronteiras,1747,15960
Urânia,3435,38987
Vitória Brasil,500,4762
Fernandópolis,79762,621338
Estrela d'Oeste,9310,71648
Fernandópolis,17800,141639
Guarani d'Oeste,2152,16214
Indiaporã,6600,56783
Macedônia,6560,51715
Meridiano,8900,70219
Mira Estrela,1060,7764
Ouroeste,11050,65171
Pedranópolis,6670,55399
São João das Duas Pontes,4280,34154
Turmalina,5380,50632
Votuporanga,111475,1108699
Álvares Florence,10643,100609
Américo de Campos,8945,87224
Cardoso,21120,208250
Cosmorama,18140,168174
Parisi,1251,13687
Pontes Gestal,9932,92593
Riolândia,27044,305383
Valentim Gentil,4187,36862
Votuporanga,10213,95919
São José do Rio Preto,466240,4969160
Adolfo,8088,109150
Altair,16624,183130
Bady Bassitt,4595,49862
Bálsamo,6420,69495
Cedral,6774,72416
Guapiaçu,14375,158393
Guaraci,40637,419328
Ibirá,14845,163951
Icém,10708,112328
Ipiguá,3012,35210
Jaci,7788,82172
José Bonifácio,39347,361102
Mendonça,9046,119790
Mirassol,7518,78703
Mirassolândia,3131,27433
Nova Aliança,10540,114537
Nova Granada,20009,217640
Olímpia,45288,434563
Onda Verde,10601,112913
Orindiúva,15325,162687
Palestina,31971,349814
Paulo de Faria,37496,438139
Planalto,14617,148677
Potirendaba,15960,173556
São José do Rio Preto,4475,55271
Tanabi,27975,299622
Ubarana,13485,146079
Uchoa,14890,144004
Zacarias,10700,129208
Catanduva,140581,1453240
Ariranha,9080,75306
Cajobi,8813,105656
Catanduva,15983,157709
Catiguá,9022,101056
Elisiário,6173,58857
Embaúba,6121,48864
Novais,5676,53542
Palmares Paulista,8562,92423
Paraíso,9805,92729
Pindorama,10115,94545
Santa Adélia,23833,267329
Severínia,7700,73232
Tabapuã,19698,231990
Auriflama,72603,656818
Auriflama,7690,70842
Floreal,4440,49816
Gastão Vidigal,6371,54495
General Salgado,15160,134494
Guzolândia,4155,32765
Magda,16030,159761
Nova Castilho,8950,74985
Nova Luzitânia,2937,19644
São João de Iracema,6870,60016
Nhandeara,73974,812632
Macaubal,6807,84422
Monções,2940,24363
Monte Aprazível,16574,196790
Neves Paulista,9212,106089
Nhandeara,13654,131689
Nipoã,5752,53333
Poloni,6555,84680
Sebastianópolis do Sul,7450,79851
União Paulista,5030,51417
Novo Horizonte,127566,1410049
Irapuã,13686,159753
Itajobi,27414,320248
Marapoama,6612,77578
Novo Horizonte,45922,423001
Sales,14952,206967
Urupês,18980,222504
Ribeirão Preto,1658282,15284853
Barretos,162495,1699513
Barretos,93022,985558
Colina,28110,293131
Colômbia,41363,420825
São Joaquim da Barra,453930,4282383
Guaíra,111360,1124806
Ipuã,41015,376904
Jaborandi,21370,205653
Miguelópolis,70315,869799
Morro Agudo,107322,862397
Nuporanga,28794,236337
Orlândia,20500,167016
Sales Oliveira,24700,209734
São Joaquim da Barra,28554,229735
Ituverava,142299,1178326
Aramina,14336,121575
Buritizal,13945,110337
Guará,27848,226179
Igarapava,27435,224923
Ituverava,58735,495312
Franca,91527,1079404
Cristais Paulista,7000,79331
Franca,7757,78640
Itirapuã,1100,10065
Jeriquara,5751,67276
Patrocínio Paulista,20050,210427
Pedregulho,10071,125387
Restinga,10002,103830
Ribeirão Corrente,3150,30024
Rifaina,2377,21911
São José da Bela Vista,24269,352515
Jaboticabal,322898,3357485
Bebedouro,42624,403869
Cândido Rodrigues,2636,24871
Fernando Prestes,9705,69286
Guariba,25204,275605
Jaboticabal,70815,867747
Monte Alto,11540,186855
Monte Azul Paulista,13878,138787
Pirangi,12250,114813
Pitangueiras,32772,343250
Santa Ernestina,9880,66496
Taiaçu,8320,100797
Taiúva,8912,98683
Taquaral,2490,26329
Taquaritinga,33985,251860
Terra Roxa,16800,176353
Viradouro,16600,174411
Vista Alegre do Alto,4487,37479
Ribeirão Preto,364697,2854189
Barrinha,11033,121671
Brodowski,15144,86623
Cravinhos,22420,137804
Dumont,10107,112132
Guatapará,26394,161365
Jardinópolis,40507,282893
Luís Antônio,38100,275394
Pontal,28880,312644
Pradópolis,13621,144898
Ribeirão Preto,39524,258437
Santa Rita do Passa Quatro,19865,196326
Santa Rosa de Viterbo,14403,99371
São Simão,30192,175555
Serra Azul,16975,110988
Serrana,7792,48780
Sertãozinho,29740,329308
Batatais,120436,833549
Altinópolis,27910,196058
Batatais,51045,361855
Cajuru,24375,139660
Cássia dos Coqueiros,2479,13884
Santa Cruz da Esperança,7844,50867
Santo Antônio da Alegria,6783,71227
Araçatuba,701184,6029842
Andradina,248225,2112963
Andradina,42129,324294
Castilho,41335,295095
Guaraçaí,27002,236741
Ilha Solteira,20670,195011
Itapura,17397,159043
Mirandópolis,26072,207454
Murutinga do Sul,4600,35394
Nova Independência,11513,78692
Pereira Barreto,33390,340262
Sud Mennucci,11672,117721
Suzanápolis,12445,123255
Araçatuba,247326,1903291
Araçatuba,46262,327741
Bento de Abreu,17400,142139
Guararapes,53369,416687
Lavínia,24204,189366
Rubiácea,9161,77638
Santo Antônio do Aracanguá,37410,290608
Valparaíso,59520,459112
Birigui,205633,2013587
Alto Alegre,10473,103181
Avanhandava,16482,162706
Barbosa,4910,47257
Bilac,6872,77859
Birigui,39811,335222
Braúna,7516,82244
Brejo Alegre,9373,82903
Buritama,9912,125862
Clementina,6249,65557
Coroados,17297,195506
Gabriel Monteiro,4485,51519
Glicério,16961,141228
Lourdes,2236,14057
Luiziânia,5557,58254
Penápolis,30643,293733
Piacatu,5969,69157
Santópolis do Aguapeí,4691,45149
Turiúba,6196,62198
