Data,Temperatura Média,Umidade Relativa,Velocidade do Vento,Rajada do Vento,Precipitação Acumulada,Pressão Atmosférica Reduzida,Cidade,Horario
2024-07-25,16.1,99.3,4.7,9.0,0.0,1021.3,APPA Antonina,09:00:00
2024-07-25,17.7,35.8,9.4,11.9,0.0,1021.1,APPA Antonina,10:00:00
2024-07-25,19.2,27.3,7.6,11.5,0.0,1020.5,APPA Antonina,11:00:00
2024-07-25,20.0,26.1,5.8,9.4,0.0,1019.3,APPA Antonina,12:00:00
2024-07-25,21.4,23.0,4.3,7.6,0.0,1017.6,APPA Antonina,13:00:00
2024-07-25,23.0,17.8,4.0,6.8,0.0,1016.0,APPA Antonina,14:00:00
2024-07-25,24.4,12.7,4.0,6.1,0.0,1015.0,APPA Antonina,15:00:00
2024-07-25,24.0,15.2,7.9,11.2,0.0,1014.7,APPA Antonina,16:00:00
2024-07-25,21.8,31.3,4.3,7.6,0.0,1014.8,APPA Antonina,17:00:00
2024-07-25,20.3,40.4,6.5,9.4,0.0,1015.2,APPA Antonina,18:00:00
2024-07-25,19.1,50.2,7.2,10.8,0.0,1015.6,APPA Antonina,19:00:00
2024-07-25,18.2,70.8,4.7,6.8,0.0,1016.0,APPA Antonina,20:00:00
2024-07-25,17.0,99.9,2.2,4.3,0.0,1016.1,APPA Antonina,21:00:00
2024-07-25,16.3,99.4,1.4,4.7,0.0,1016.1,APPA Antonina,22:00:00
2024-07-25,15.8,99.3,0.4,1.8,0.0,1016.4,APPA Antonina,23:00:00
2024-07-26,15.7,99.3,1.1,2.9,0.0,1016.5,APPA Antonina,00:00:00
2024-07-26,16.6,99.3,2.2,4.7,0.0,1016.3,APPA Antonina,01:00:00
2024-07-26,16.4,99.3,2.9,4.3,0.0,1016.0,APPA Antonina,02:00:00
2024-07-26,16.3,99.3,1.4,4.0,0.0,1015.5,APPA Antonina,03:00:00
2024-07-26,15.4,99.3,0.4,2.5,0.0,1015.4,APPA Antonina,04:00:00
2024-07-26,14.9,99.3,0.0,1.8,0.0,1015.6,APPA Antonina,05:00:00
2024-07-26,14.6,99.3,2.2,5.0,0.0,1016.3,APPA Antonina,06:00:00
2024-07-26,15.1,99.3,3.2,5.4,0.0,1016.8,APPA Antonina,07:00:00
2024-07-26,15.4,99.3,1.4,3.6,0.0,1017.6,APPA Antonina,08:00:00
2024-07-26,15.4,99.3,1.4,3.6,0.0,0.0,APPA Antonina,08:00:00
2024-07-25,18.9,54.0,6.1,12.6,0.0,1018.4,Altônia,08:00:00
2024-07-25,22.8,46.0,2.9,7.2,0.0,1018.6,Altônia,09:00:00
2024-07-25,25.8,37.0,11.5,20.2,0.0,1018.9,Altônia,10:00:00
2024-07-25,27.1,35.0,15.8,25.6,0.0,1018.5,Altônia,11:00:00
2024-07-25,29.1,31.0,16.2,27.7,0.0,1017.6,Altônia,12:00:00
2024-07-25,30.2,28.0,16.6,25.6,0.0,1016.2,Altônia,13:00:00
2024-07-25,31.1,27.0,12.2,25.6,0.0,1014.9,Altônia,14:00:00
2024-07-25,31.3,25.0,7.9,17.6,0.0,1014.0,Altônia,15:00:00
2024-07-25,31.0,27.0,7.9,17.6,0.0,1013.6,Altônia,16:00:00
2024-07-25,30.9,28.0,4.0,9.7,0.0,1013.6,Altônia,17:00:00
2024-07-25,27.3,34.0,3.6,4.3,0.0,1014.1,Altônia,18:00:00
2024-07-25,25.8,35.0,3.6,4.3,0.0,1014.1,Altônia,19:00:00
2024-07-25,25.0,36.0,5.4,6.8,0.0,1014.6,Altônia,20:00:00
2024-07-25,25.1,35.0,7.2,8.6,0.0,1015.2,Altônia,21:00:00
2024-07-25,23.9,38.0,8.6,11.2,0.0,1015.2,Altônia,22:00:00
2024-07-25,22.9,40.0,9.4,14.0,0.0,1014.9,Altônia,23:00:00
2024-07-26,22.6,41.0,9.4,13.7,0.0,1015.2,Altônia,00:00:00
2024-07-26,23.7,38.0,7.2,10.1,0.0,1015.3,Altônia,01:00:00
2024-07-26,22.3,40.0,11.5,16.2,0.0,1014.6,Altônia,02:00:00
2024-07-26,21.3,44.0,6.5,8.3,0.0,1015.1,Altônia,03:00:00
2024-07-26,20.0,48.0,5.0,7.2,0.0,1015.5,Altônia,04:00:00
2024-07-26,17.7,57.0,7.9,10.8,0.0,1015.4,Altônia,05:00:00
2024-07-26,18.4,54.0,11.5,14.0,0.0,1015.5,Altônia,06:00:00
2024-07-26,18.3,55.0,10.8,13.7,0.0,1016.1,Altônia,07:00:00
2024-07-26,19.8,48.0,9.0,14.4,0.0,1016.3,Altônia,08:00:00
2024-07-25,12.2,98.6,1.1,3.2,0.0,1013.2,Antonina,08:00:00
2024-07-25,14.5,99.3,1.8,4.3,0.0,1013.1,Antonina,09:00:00
2024-07-25,17.4,88.8,2.5,6.8,0.0,1013.1,Antonina,10:00:00
2024-07-25,20.2,81.5,4.3,8.6,0.0,1012.0,Antonina,11:00:00
2024-07-25,21.3,80.3,4.7,10.1,0.0,1011.0,Antonina,12:00:00
2024-07-25,23.1,76.3,4.0,9.4,0.0,1009.9,Antonina,13:00:00
2024-07-25,24.2,75.6,4.0,8.6,0.0,1007.9,Antonina,14:00:00
2024-07-25,25.0,73.9,2.2,5.0,0.0,1006.8,Antonina,15:00:00
2024-07-25,25.1,74.4,3.2,5.4,0.0,1006.8,Antonina,16:00:00
2024-07-25,20.8,88.3,0.7,3.6,0.0,1006.9,Antonina,17:00:00
2024-07-25,18.7,93.5,0.7,2.2,0.0,1007.0,Antonina,18:00:00
2024-07-25,17.8,94.7,1.1,2.5,0.0,1008.0,Antonina,19:00:00
2024-07-25,17.3,95.1,2.2,5.0,0.0,1008.0,Antonina,20:00:00
2024-07-25,16.7,95.5,1.4,2.5,0.0,1008.0,Antonina,21:00:00
2024-07-25,16.1,95.3,1.1,3.2,0.0,1008.1,Antonina,22:00:00
2024-07-25,15.6,95.5,1.4,3.2,0.0,1008.1,Antonina,23:00:00
2024-07-26,15.4,95.6,2.2,3.6,0.0,1008.1,Antonina,00:00:00
2024-07-26,15.5,95.5,1.8,4.3,0.0,1008.1,Antonina,01:00:00
2024-07-26,15.4,95.1,2.2,3.2,0.0,1008.1,Antonina,02:00:00
2024-07-26,15.2,95.5,1.8,2.9,0.0,1007.1,Antonina,03:00:00
2024-07-26,15.1,95.9,1.4,2.9,0.0,1007.1,Antonina,04:00:00
2024-07-26,15.4,95.5,2.2,3.2,0.0,1008.1,Antonina,05:00:00
2024-07-26,15.8,95.3,1.8,3.2,0.0,1008.1,Antonina,06:00:00
2024-07-26,15.7,95.1,0.7,2.5,0.0,1009.1,Antonina,07:00:00
2024-07-26,16.7,96.3,0.4,2.9,0.0,1009.1,Antonina,08:00:00
2024-07-25,23.7,48.5,9.0,19.8,0.0,1013.8,Apucarana,11:00:00
2024-07-25,25.2,42.7,10.8,18.7,0.0,1013.0,Apucarana,12:00:00
2024-07-25,26.1,39.6,13.3,20.2,0.0,1011.4,Apucarana,13:00:00
2024-07-25,26.3,37.6,15.8,29.5,0.0,1010.2,Apucarana,14:00:00
2024-07-25,26.5,37.3,12.6,16.6,0.0,1009.3,Apucarana,15:00:00
2024-07-25,26.5,34.6,13.7,14.8,0.0,1008.9,Apucarana,16:00:00
2024-07-25,25.6,39.8,3.6,10.4,0.0,1009.2,Apucarana,17:00:00
2024-07-25,23.3,43.1,9.7,10.8,0.0,1010.2,Apucarana,18:00:00
2024-07-25,22.3,43.6,7.9,9.0,0.0,1010.6,Apucarana,19:00:00
2024-07-25,21.7,44.5,8.6,12.6,0.0,1011.0,Apucarana,20:00:00
2024-07-25,21.2,45.7,6.8,12.2,0.0,1011.4,Apucarana,21:00:00
2024-07-25,21.1,45.1,8.3,12.2,0.0,1011.9,Apucarana,22:00:00
2024-07-25,21.8,42.1,10.4,8.6,0.0,1012.1,Apucarana,23:00:00
