Cidade,latitude,longitude
Anahy,-24.644865,-53.133235
Assis Chateaubriand,-24.416826,-53.521327
Boa Vista da Aparecida,-25.430755,-53.411694
Braganey,-24.81734,-53.121787
Brasilândia do Sul,-24.197762,-53.527527
Cafelândia,-24.618862,-53.320705
Capitão Leônidas Marques,-25.481645,-53.611238
Cascavel,-24.957301,-53.459005
Céu Azul,-25.148876,-53.841473
Corbélia,-24.797122,-53.300576
Diamante D´Oeste,-24.941858,-54.105157
Entre Rios do Oeste,-24.70421,-54.238507
Formosa do Oeste,-24.295097,-53.311378
Foz Do Iguaçu,-25.542748,-54.582689
Francisco Alves,-24.066725,-53.846124
Guaíra,-24.085005,-54.257327
Iguatu,-24.715277,-53.082724
Iracema do Oeste,-24.426155,-53.35279
Itaipulândia,-25.136623,-54.300102
Jesuítas,-24.383918,-53.38492
Lindoeste,-25.259616,-53.573298
Marechal Cândido Rondon,-24.557891,-54.056115
Maripá,-24.419978,-53.828641
Matelândia,-25.249571,-53.993492
Medianeira,-25.297665,-54.094308
Mercedes,-24.453791,-54.161826
Missal,-25.091855,-54.247664
Nova Aurora,-24.528859,-53.257449
Nova Santa Rosa,-24.469293,-53.955249
Ouro Verde do Oeste,-24.793258,-53.904303
Palotina,-24.286784,-53.840422
Pato Bragado,-24.624625,-54.228115
Quatro Pontes,-24.575152,-53.975885
Ramilândia,-25.119472,-54.023015
Santa Helena,-24.858494,-54.33601
Santa Lúcia,-25.410355,-53.563796
Santa Tereza do Oeste,-25.054316,-53.627417
Santa Terezinha de Itaipu,-25.434417,-54.400725
São José das Palmeiras,-24.836883,-54.057225
São Miguel do Iguaçu,-25.349171,-54.240498
São Pedro do Iguaçu,-24.937311,-53.852141
Serranópolis do Iguaçu,-25.379915,-54.051822
Terra Roxa,-24.157455,-54.098816
Toledo,-24.724641,-53.741177
Tupãssi,-24.587887,-53.51051
Ubiratã,-24.539292,-52.986485
Vera Cruz do Oeste,-25.057688,-53.877096
