"id_municipio";"uf";"Cidade";"longitude";"latitude"
4732;"SP";"Adamantina";-51.073695;-21.682012
4733;"SP";"Adolfo";-49.645128;-21.232494
4734;"SP";"Aguaí";-46.973502;-22.057207
4739;"SP";"Agudos";-48.98632;-22.469433
4740;"SP";"Alambari";-47.897971;-23.550338
4741;"SP";"Alfredo Marcondes";-51.413956;-21.9527
4742;"SP";"Altair";-49.057073;-20.524207
4743;"SP";"Altinópolis";-47.3712;-21.021364
4744;"SP";"Alto Alegre";-50.16798;-21.581103
4745;"SP";"Alumínio";-47.254571;-23.530553
4749;"SP";"Alvinlândia";-49.762323;-22.443481
4750;"SP";"Americana";-47.333119;-22.73736
4753;"SP";"Amparo";-46.772022;-22.70879
4751;"SP";"Américo Brasiliense";-48.11467;-21.728771
4752;"SP";"Américo de Campos";-49.735904;-20.298476
4754;"SP";"Analândia";-47.661939;-22.128917
4755;"SP";"Andradina";-51.378568;-20.894761
4756;"SP";"Angatuba";-48.413872;-23.491733
4757;"SP";"Anhembi";-48.133595;-22.792959
4758;"SP";"Anhumas";-51.389542;-22.293414
4759;"SP";"Aparecida";-45.232496;-22.849509
4760;"SP";"Aparecida d`Oeste";-50.883506;-20.448734
4761;"SP";"Apiaí";-48.844271;-24.510819
4765;"SP";"Aramina";-47.787251;-20.088152
4766;"SP";"Arandu";-49.048661;-23.138559
4767;"SP";"Arapeí";-44.444127;-22.671744
4768;"SP";"Araraquara";-48.178014;-21.784511
4769;"SP";"Araras";-47.384235;-22.357238
4762;"SP";"Araçariguama";-47.060825;-23.436597
4763;"SP";"Araçatuba";-50.440106;-21.207648
4764;"SP";"Araçoiaba da Serra";-47.616605;-23.502901
4770;"SP";"Arco-Íris";-50.466018;-21.772797
4771;"SP";"Arealva";-48.913511;-22.031026
4772;"SP";"Areias";-44.69924;-22.578597
4773;"SP";"Areiópolis";-48.668052;-22.667216
4774;"SP";"Ariranha";-48.790418;-21.18716
4775;"SP";"Artur Nogueira";-47.172679;-22.572737
4776;"SP";"Arujá";-46.319983;-23.396476
4777;"SP";"Aspásia";-50.728046;-20.160028
4778;"SP";"Assis";-50.418307;-22.659957
4779;"SP";"Atibaia";-46.556262;-23.117059
4780;"SP";"Auriflama";-50.55719;-20.683621
4782;"SP";"Avanhandava";-49.950893;-21.458416
4783;"SP";"Avaré";-48.925052;-23.106732
4781;"SP";"Avaí";-49.335596;-22.151409
4784;"SP";"Bady Bassitt";-49.4385;-20.919689
4785;"SP";"Balbinos";-49.361906;-21.896293
4787;"SP";"Bananal";-44.328114;-22.681932
4789;"SP";"Barbosa";-49.951816;-21.265661
4790;"SP";"Bariri";-48.743828;-22.072955
4791;"SP";"Barra Bonita";-48.558349;-22.490859
4792;"SP";"Barra do Chapéu";-49.023784;-24.472203
4793;"SP";"Barra do Turvo";-48.50126;-24.759035
4794;"SP";"Barretos";-48.569832;-20.553146
4795;"SP";"Barrinha";-48.163614;-21.186374
4796;"SP";"Barueri";-46.879042;-23.505689
4788;"SP";"Barão de Antonina";-49.563366;-23.628419
4797;"SP";"Bastos";-50.735695;-21.920984
4798;"SP";"Batatais";-47.592149;-20.892867
4799;"SP";"Bauru";-49.087142;-22.324569
4800;"SP";"Bebedouro";-48.479083;-20.949077
4801;"SP";"Bento de Abreu";-50.813959;-21.268629
4802;"SP";"Bernardino de Campos";-49.467897;-23.016439
4803;"SP";"Bertioga";-46.139586;-23.848568
4804;"SP";"Bilac";-50.47464;-21.403962
4805;"SP";"Birigui";-50.343162;-21.291034
4806;"SP";"Biritiba-Mirim";-46.0407;-23.569774
4807;"SP";"Boa Esperança do Sul";-48.390622;-21.991832
4808;"SP";"Bocaina";-48.523044;-22.136538
4809;"SP";"Bofete";-48.258203;-23.105543
4810;"SP";"Boituva";-47.678574;-23.285531
4811;"SP";"Bom Jesus dos Perdões";-46.467474;-23.135579
4812;"SP";"Bom Sucesso de Itararé";-49.145104;-24.315511
4814;"SP";"Boracéia";-48.780751;-22.192645
4815;"SP";"Borborema";-49.074089;-21.621368
4816;"SP";"Borebi";-48.970749;-22.572763
4813;"SP";"Borá";-50.540919;-22.269627
4817;"SP";"Botucatu";-48.443706;-22.883697
4818;"SP";"Bragança Paulista";-46.54188;-22.952681
4819;"SP";"Braúna";-50.317489;-21.499039
4820;"SP";"Brejo Alegre";-50.186076;-21.165147
4821;"SP";"Brodowski";-47.657217;-20.984532
4822;"SP";"Brotas";-48.125115;-22.279476
4823;"SP";"Buri";-48.595811;-23.797689
4824;"SP";"Buritama";-50.147494;-21.066064
4825;"SP";"Buritizal";-47.709636;-20.191084
4786;"SP";"Bálsamo";-49.586487;-20.734843
4827;"SP";"Cabreúva";-47.136251;-23.30533
4826;"SP";"Cabrália Paulista";-49.339337;-22.45756
4829;"SP";"Cachoeira Paulista";-45.015384;-22.666498
4830;"SP";"Caconde";-46.643659;-21.527995
4831;"SP";"Cafelândia";-49.609213;-21.803112
4832;"SP";"Caiabu";-51.239408;-22.012719
4833;"SP";"Caieiras";-46.73974;-23.360729
4834;"SP";"Caiuá";-51.996918;-21.832164
4835;"SP";"Cajamar";-46.878146;-23.355014
4836;"SP";"Cajati";-48.122347;-24.73239
4837;"SP";"Cajobi";-48.806336;-20.877287
4838;"SP";"Cajuru";-47.303022;-21.274934
4839;"SP";"Campina do Monte Alegre";-48.4758;-23.58948
4840;"SP";"Campinas";-47.06595;-22.905346
4841;"SP";"Campo Limpo Paulista";-46.788919;-23.207791
4843;"SP";"Campos Novos Paulista";-49.998726;-22.601952
4842;"SP";"Campos do Jordão";-45.583337;-22.729618
4844;"SP";"Cananéia";-47.934074;-25.014428
4845;"SP";"Canas";-45.052117;-22.700344
4848;"SP";"Canitar";-49.783947;-23.004014
4850;"SP";"Capela do Alto";-47.738834;-23.468471
4851;"SP";"Capivari";-47.50715;-22.995144
4849;"SP";"Capão Bonito";-48.348222;-24.011265
4852;"SP";"Caraguatatuba";-45.412533;-23.612535
4853;"SP";"Carapicuíba";-46.840676;-23.523471
4854;"SP";"Cardoso";-49.918322;-20.080031
4855;"SP";"Casa Branca";-47.085245;-21.77081
4857;"SP";"Castilho";-51.488394;-20.868924
4858;"SP";"Catanduva";-48.977015;-21.131381
4859;"SP";"Catiguá";-49.06162;-21.051861
4828;"SP";"Caçapava";-45.707645;-23.099204
4860;"SP";"Cedral";-49.266426;-20.900949
4861;"SP";"Cerqueira César";-49.165524;-23.037999
4862;"SP";"Cerquilho";-47.745862;-23.166487
4863;"SP";"Cesário Lange";-47.954453;-23.226035
4864;"SP";"Charqueada";-47.775468;-22.50958
4865;"SP";"Chavantes";-49.709616;-23.036632
4866;"SP";"Clementina";-50.452476;-21.560447
4867;"SP";"Colina";-48.53867;-20.711443
4868;"SP";"Colômbia";-48.686468;-20.176771
4869;"SP";"Conchal";-47.172927;-22.337512
4870;"SP";"Conchas";-48.013391;-23.01543
4871;"SP";"Cordeirópolis";-47.451886;-22.477778
4872;"SP";"Coroados";-50.285937;-21.352082
4873;"SP";"Coronel Macedo";-49.309966;-23.626143
4874;"SP";"Corumbataí";-47.621451;-22.221334
4876;"SP";"Cosmorama";-49.782747;-20.475472
4875;"SP";"Cosmópolis";-47.192578;-22.641906
4877;"SP";"Cotia";-46.91902;-23.602177
4878;"SP";"Cravinhos";-47.732427;-21.337959
4879;"SP";"Cristais Paulista";-47.420915;-20.403569
4881;"SP";"Cruzeiro";-44.96896;-22.572764
4880;"SP";"Cruzália";-50.790909;-22.737309
4882;"SP";"Cubatão";-46.423968;-23.891121
4883;"SP";"Cunha";-44.957559;-23.0731
4856;"SP";"Cássia dos Coqueiros";-47.164327;-21.280082
4846;"SP";"Cândido Mota";-50.387326;-22.747093
4847;"SP";"Cândido Rodrigues";-48.632719;-21.327531
4884;"SP";"Descalvado";-47.618105;-21.900211
4885;"SP";"Diadema";-46.62052;-23.681347
4886;"SP";"Dirce Reis";-50.607335;-20.464207
4887;"SP";"Divinolândia";-46.736128;-21.663709
4888;"SP";"Dobrada";-48.393476;-21.515533
4889;"SP";"Dois Córregos";-48.381924;-22.367291
4890;"SP";"Dolcinópolis";-50.514898;-20.124047
4891;"SP";"Dourado";-48.317823;-22.104436
4892;"SP";"Dracena";-51.535034;-21.484311
4893;"SP";"Duartina";-49.408355;-22.414562
4894;"SP";"Dumont";-47.975622;-21.232401
4895;"SP";"Echaporã";-50.203787;-22.43256
4896;"SP";"Eldorado";-48.114085;-24.52809
4897;"SP";"Elias Fausto";-47.368153;-23.042822
4898;"SP";"Elisiário";-49.114594;-21.167754
4899;"SP";"Embaúba";-48.832452;-20.979595
4900;"SP";"Embu";-46.857854;-23.643717
4901;"SP";"Embu-Guaçu";-46.813593;-23.829717
4902;"SP";"Emilianópolis";-51.483168;-21.831436
4903;"SP";"Engenheiro Coelho";-47.211045;-22.483573
4904;"SP";"Espírito Santo do Pinhal";-46.74767;-22.190871
4905;"SP";"Espírito Santo do Turvo";-49.434119;-22.69254
4906;"SP";"Estiva Gerbi";-46.948111;-22.271314
4907;"SP";"Estrela d`Oeste";-50.404872;-20.28755
4908;"SP";"Estrela do Norte";-51.663203;-22.485935
4909;"SP";"Euclides da Cunha Paulista";-52.592779;-22.55452
4910;"SP";"Fartura";-49.512403;-23.391643
4912;"SP";"Fernando Prestes";-48.687384;-21.266061
4911;"SP";"Fernandópolis";-50.247115;-20.280556
4913;"SP";"Fernão";-49.518735;-22.36066
4914;"SP";"Ferraz de Vasconcelos";-46.37097;-23.541056
4915;"SP";"Flora Rica";-51.382107;-21.672738
4916;"SP";"Floreal";-50.151282;-20.675193
4918;"SP";"Florínia";-50.732976;-22.902483
4917;"SP";"Flórida Paulista";-51.172445;-21.612711
4919;"SP";"Franca";-47.403861;-20.53523
4920;"SP";"Francisco Morato";-46.744781;-23.279248
4921;"SP";"Franco da Rocha";-46.729011;-23.322882
4922;"SP";"Gabriel Monteiro";-50.557321;-21.52941
4924;"SP";"Garça";-49.654596;-22.212516
4925;"SP";"Gastão Vidigal";-50.191183;-20.794776
4926;"SP";"Gavião Peixoto";-48.49566;-21.836658
4927;"SP";"General Salgado";-50.36397;-20.648458
4928;"SP";"Getulina";-49.931205;-21.796117
4929;"SP";"Glicério";-50.212269;-21.381193
4931;"SP";"Guaimbê";-49.89861;-21.909072
4930;"SP";"Guaiçara";-49.801287;-21.619537
4934;"SP";"Guapiara";-48.529549;-24.18921
4933;"SP";"Guapiaçu";-49.217201;-20.795885
4937;"SP";"Guaraci";-48.939107;-20.49766
4938;"SP";"Guarani d`Oeste";-50.341123;-20.074646
4939;"SP";"Guarantã";-49.591351;-21.894195
4940;"SP";"Guararapes";-50.645338;-21.254431
4941;"SP";"Guararema";-46.036946;-23.411195
4942;"SP";"Guaratinguetá";-45.193788;-22.807534
4936;"SP";"Guaraçaí";-51.211854;-21.029173
4943;"SP";"Guareí";-48.183715;-23.371359
4944;"SP";"Guariba";-48.23158;-21.35938
4945;"SP";"Guarujá";-46.257959;-23.988798
4946;"SP";"Guarulhos";-46.533347;-23.453758
4935;"SP";"Guará";-47.823626;-20.430162
4947;"SP";"Guatapará";-48.035588;-21.494444
4932;"SP";"Guaíra";-48.31197;-20.319591
4948;"SP";"Guzolândia";-50.664505;-20.646679
4923;"SP";"Gália";-49.550356;-22.291846
4949;"SP";"Herculândia";-50.390734;-22.003802
4950;"SP";"Holambra";-47.048694;-22.640513
4951;"SP";"Hortolândia";-47.214259;-22.852854
4952;"SP";"Iacanga";-49.030959;-21.889646
4953;"SP";"Iacri";-50.693152;-21.857199
4954;"SP";"Iaras";-49.163377;-22.868199
4955;"SP";"Ibaté";-47.988211;-21.958358
4957;"SP";"Ibirarema";-50.073901;-22.818537
4956;"SP";"Ibirá";-49.244833;-21.083032
4958;"SP";"Ibitinga";-48.831903;-21.75623
4959;"SP";"Ibiúna";-47.223037;-23.65961
4960;"SP";"Icém";-49.191546;-20.339067
4961;"SP";"Iepê";-51.077881;-22.660165
4963;"SP";"Igarapava";-47.746576;-20.040687
4964;"SP";"Igaratá";-46.156985;-23.20366
4962;"SP";"Igaraçu do Tietê";-48.559672;-22.509044
4965;"SP";"Iguape";-47.553659;-24.699015
4967;"SP";"Ilha Comprida";-47.538275;-24.730743
4968;"SP";"Ilha Solteira";-51.342552;-20.432629
4966;"SP";"Ilhabela";-45.355226;-23.778533
4969;"SP";"Indaiatuba";-47.210093;-23.081591
4970;"SP";"Indiana";-51.255467;-22.173779
4971;"SP";"Indiaporã";-50.290856;-19.978952
4972;"SP";"Inúbia Paulista";-50.963268;-21.769471
4973;"SP";"Ipaussu";-49.627911;-23.05753
4974;"SP";"Iperó";-47.692717;-23.351296
4975;"SP";"Ipeúna";-47.715086;-22.435513
4976;"SP";"Ipiguá";-49.384161;-20.655734
4977;"SP";"Iporanga";-48.597119;-24.584718
4978;"SP";"Ipuã";-48.012881;-20.443785
4979;"SP";"Iracemápolis";-47.522963;-22.583234
4981;"SP";"Irapuru";-51.347171;-21.56839
4980;"SP";"Irapuã";-49.416398;-21.276832
4982;"SP";"Itaberá";-49.139987;-23.863827
4984;"SP";"Itajobi";-49.062863;-21.312294
4985;"SP";"Itaju";-48.811549;-21.985691
4986;"SP";"Itanhaém";-46.787986;-24.173633
4988;"SP";"Itapecerica da Serra";-46.857193;-23.716135
4989;"SP";"Itapetininga";-48.048326;-23.588607
4990;"SP";"Itapeva";-48.876433;-23.978823
4991;"SP";"Itapevi";-46.932747;-23.548774
4992;"SP";"Itapira";-46.822434;-22.435731
4993;"SP";"Itapirapuã Paulista";-49.166151;-24.572033
4995;"SP";"Itaporanga";-49.481854;-23.704273
4997;"SP";"Itapura";-51.506322;-20.641911
4996;"SP";"Itapuí";-48.719734;-22.232445
4998;"SP";"Itaquaquecetuba";-46.345724;-23.483481
4999;"SP";"Itararé";-49.335215;-24.108451
5000;"SP";"Itariri";-47.173619;-24.283404
5001;"SP";"Itatiba";-46.846353;-23.003497
5002;"SP";"Itatinga";-48.615712;-23.104707
4983;"SP";"Itaí";-49.092005;-23.42129
4987;"SP";"Itaóca";-48.841285;-24.639252
5003;"SP";"Itirapina";-47.816594;-22.256239
5004;"SP";"Itirapuã";-47.219446;-20.641585
5005;"SP";"Itobi";-46.9743;-21.730853
5006;"SP";"Itu";-47.292688;-23.254397
5007;"SP";"Itupeva";-47.059262;-23.152635
5008;"SP";"Ituverava";-47.790207;-20.335465
4994;"SP";"Itápolis";-48.81491;-21.594224
5009;"SP";"Jaborandi";-48.411167;-20.688422
5010;"SP";"Jaboticabal";-48.325223;-21.252037
5011;"SP";"Jacareí";-45.965814;-23.29829
5012;"SP";"Jaci";-49.579732;-20.880468
5013;"SP";"Jacupiranga";-48.006402;-24.696326
5014;"SP";"Jaguariúna";-46.985062;-22.70374
5015;"SP";"Jales";-50.549442;-20.267227
5016;"SP";"Jambeiro";-45.694214;-23.252217
5017;"SP";"Jandira";-46.902314;-23.527537
5018;"SP";"Jardinópolis";-47.760583;-21.017612
5019;"SP";"Jarinu";-46.728015;-23.103855
5020;"SP";"Jaú";-48.559193;-22.293585
5021;"SP";"Jeriquara";-47.591835;-20.311567
5022;"SP";"Joanópolis";-46.274118;-22.926999
5024;"SP";"José Bonifácio";-49.689233;-21.055062
5023;"SP";"João Ramalho";-50.769359;-22.247339
5026;"SP";"Jumirim";-47.786821;-23.088361
5027;"SP";"Jundiaí";-46.897358;-23.185218
5028;"SP";"Junqueirópolis";-51.434187;-21.510348
5030;"SP";"Juquitiba";-47.065332;-23.924381
5029;"SP";"Juquiá";-47.64264;-24.310084
5025;"SP";"Júlio Mesquita";-49.787294;-22.011174
5031;"SP";"Lagoinha";-45.194415;-23.084621
5032;"SP";"Laranjal Paulista";-47.837549;-23.050564
5034;"SP";"Lavrinhas";-44.902359;-22.570047
5033;"SP";"Lavínia";-51.041172;-21.163913
5035;"SP";"Leme";-47.384109;-22.180857
5036;"SP";"Lençóis Paulista";-48.803683;-22.602693
5037;"SP";"Limeira";-47.396987;-22.56605
5038;"SP";"Lindóia";-46.650035;-22.522562
5039;"SP";"Lins";-49.752555;-21.67182
5040;"SP";"Lorena";-45.11968;-22.73338
5041;"SP";"Lourdes";-50.226274;-20.966025
5042;"SP";"Louveira";-46.948369;-23.085572
5044;"SP";"Lucianópolis";-49.522002;-22.429418
5043;"SP";"Lucélia";-51.021511;-21.718203
5046;"SP";"Luiziânia";-50.329438;-21.673748
5047;"SP";"Lupércio";-49.818019;-22.41459
5048;"SP";"Lutécia";-50.394007;-22.338378
5045;"SP";"Luís Antônio";-47.700838;-21.550625
5049;"SP";"Macatuba";-48.710229;-22.50022
5050;"SP";"Macaubal";-49.968732;-20.802153
5051;"SP";"Macedônia";-50.197269;-20.144375
5052;"SP";"Magda";-50.230542;-20.644497
5053;"SP";"Mairinque";-47.184995;-23.539822
5054;"SP";"Mairiporã";-46.589695;-23.31713
5055;"SP";"Manduri";-49.320164;-23.005569
5056;"SP";"Marabá Paulista";-51.96167;-22.106766
5057;"SP";"Maracaí";-50.671288;-22.614921
5058;"SP";"Marapoama";-49.129968;-21.258719
5061;"SP";"Marinópolis";-50.825384;-20.4389
5059;"SP";"Mariápolis";-51.182434;-21.79592
5062;"SP";"Martinópolis";-51.170949;-22.146153
5060;"SP";"Marília";-49.95006;-22.217108
5063;"SP";"Matão";-48.363968;-21.602511
5064;"SP";"Mauá";-46.461263;-23.66767
5065;"SP";"Mendonça";-49.579059;-21.175724
5066;"SP";"Meridiano";-50.181055;-20.357874
5067;"SP";"Mesópolis";-50.632641;-19.968351
5068;"SP";"Miguelópolis";-48.030997;-20.179612
