Cidade,latitude,longitude
Aguanil,-20.943942,-45.391456
Aiuruoca,-21.973608,-44.604212
Alagoa,-22.170976,-44.641344
Albertina,-22.201775,-46.613912
Alfenas,-21.425629,-45.947727
Alpinópolis,-20.863059,-46.387797
Alterosa,-21.248752,-46.138666
Andradas,-22.069487,-46.572372
Arceburgo,-21.358984,-46.940056
Areado,-21.357186,-46.142071
Baependi,-21.956994,-44.887426
Bandeira do Sul,-21.730798,-46.383347
Boa Esperança,-21.092723,-45.561203
Bom Jesus da Penha,-21.014786,-46.517369
Bom Repouso,-22.467494,-46.144036
Bom Sucesso,-21.032875,-44.753745
Borda da Mata,-22.270701,-46.165349
Botelhos,-21.641157,-46.391006
Bueno Brandão,-22.438321,-46.349102
Cabo Verde,-21.469945,-46.391857
Cachoeira de Minas,-22.351107,-45.780866
Caldas,-21.918309,-46.384314
Camanducaia,-22.751534,-46.149444
Cambuí,-22.611537,-46.057228
Cambuquira,-21.853985,-45.289572
Campanha,-21.835977,-45.400394
Campestre,-21.707874,-46.23808
Campo Belo,-20.893182,-45.269892
Campo do Meio,-21.112735,-45.827333
Campos Gerais,-21.237025,-45.7569
Cana Verde,-21.023207,-45.180062
Candeias,-20.769222,-45.276465
Capetinga,-20.616314,-47.057141
Capitólio,-20.616373,-46.049257
Careaçu,-22.042379,-45.696011
Carmo da Cachoeira,-21.463291,-45.220065
Carmo de Minas,-22.120366,-45.13069
Carmo do Rio Claro,-20.973609,-46.114925
Carrancas,-21.489765,-44.64457
Carvalhópolis,-21.773534,-45.842127
Carvalhos,-22.000003,-44.463164
Cássia,-20.583061,-46.920122
Caxambu,-21.975253,-44.931855
Claraval,-20.397011,-47.276828
Conceição da Aparecida,-21.096024,-46.20491
Conceição das Pedras,-22.157647,-45.456238
Conceição do Rio Verde,-21.877836,-45.08703
Conceição dos Ouros,-22.407845,-45.799599
Congonhal,-22.148753,-46.043031
Consolação,-22.54929,-45.925459
Coqueiral,-21.185757,-45.436568
Cordislândia,-21.789099,-45.699879
Córrego do Bom Jesus,-22.626882,-46.024113
Cristais,-20.87328,-45.516727
Cristina,-22.207982,-45.267266
Cruzília,-21.839985,-44.806678
Delfim Moreira,-22.503632,-45.279231
Delfinópolis,-20.34677,-46.845554
Divisa Nova,-21.50916,-46.190385
Dom Viçoso,-22.25111,-45.164317
Doresópolis,-20.286828,-45.900725
Elói Mendes,-21.608806,-45.569064
Espírito Santo do Dourado,-22.045368,-45.95477
Estiva,-22.457694,-46.01905
Extrema,-22.853991,-46.317816
Fama,-21.408898,-45.828617
Fortaleza de Minas,-20.850765,-46.712029
Gonçalves,-22.654535,-45.855566
Guapé,-20.763079,-45.915233
Guaranésia,-21.300921,-46.796352
Guaxupé,-21.305007,-46.708053
Heliodora,-22.064401,-45.545325
Ibiraci,-20.461058,-47.12215
Ibitiúra de Minas,-22.060402,-46.43681
Ibituruna,-21.15414,-44.747913
Ijaci,-21.173785,-44.923265
Ilicínea,-20.940222,-45.830849
Inconfidentes,-22.313561,-46.326412
Ingaí,-21.402428,-44.915158
Ipuiúna,-22.101264,-46.191495
Itajubá,-22.422481,-45.459818
Itamogi,-21.075824,-47.045962
Itamonte,-22.285912,-44.868021
Itanhandu,-22.294191,-44.938243
Itapeva,-22.766488,-46.224053
Itaú de Minas,-20.737499,-46.752512
Itumirim,-21.317054,-44.872364
Itutinga,-21.300017,-44.656731
Jacuí,-21.013662,-46.73588
Jacutinga,-22.28597,-46.616575
Jesuânia,-21.988655,-45.291122
Juruaia,-21.24931,-46.573541
Lambari,-21.967088,-45.349822
Lavras,-21.248002,-45.000949
Luminárias,-21.514485,-44.903384
Machado,-21.677757,-45.921855
Maria da Fé,-22.304417,-45.377277
Marmelópolis,-22.447004,-45.164541
Minduri,-21.679714,-44.605096
Monsenhor Paulo,-21.757885,-45.539055
Monte Belo,-21.327084,-46.363462
Monte Santo de Minas,-21.18731,-46.975314
Monte Sião,-22.433538,-46.57298
Munhoz,-22.609172,-46.36197
Muzambinho,-21.369155,-46.5213
Natércia,-22.115754,-45.512284
Nepomuceno,-21.232415,-45.234956
Nova Resende,-21.128612,-46.415732
Olímpio Noronha,-22.068548,-45.265726
Ouro Fino,-22.277868,-46.371599
Paraguaçu,-21.546507,-45.737419
Paraisópolis,-22.553912,-45.780295
Passa Quatro,-22.387076,-44.970926
Passos,-20.719271,-46.609008
Pedralva,-22.238645,-45.465386
Perdões,-21.093225,-45.089582
Piranguçu,-22.524932,-45.494528
Piranguinho,-22.394961,-45.532405
Piumhi,-20.47623,-45.95891
Poço Fundo,-21.780002,-45.96575
Poços de Caldas,-21.779975,-46.569184
Pouso Alegre,-22.22659,-45.938935
Pouso Alto,-22.19637,-44.974813
Pratápolis,-20.74105,-46.862402
Ribeirão Vermelho,-21.187861,-45.06368
Santa Rita de Caldas,-22.029192,-46.338501
Santa Rita do Sapucaí,-22.246141,-45.703405
Santana da Vargem,-21.244903,-45.500526
Santana do Jacaré,-20.900714,-45.128506
Santo Antônio do Amparo,-20.943044,-44.917608
São Bento Abade,-21.583927,-45.069931
São Gonçalo do Sapucaí,-21.893223,-45.589344
São João Batista do Glória,-20.634996,-46.507966
São João da Mata,-21.927998,-45.929727
São José da Barra,-20.717808,-46.312968
São José do Alegre,-22.324269,-45.525837
São Lourenço,-22.116588,-45.050597
São Pedro da União,-21.130975,-46.6123
São Roque de Minas,-20.249014,-46.363873
São Sebastião da Bela Vista,-22.158327,-45.754639
São Sebastião do Paraíso,-20.916734,-46.983703
São Sebastião do Rio Verde,-22.218293,-44.976116
São Thomé das Letras,-21.725804,-44.98483
São Tomás de Aquino,-20.779063,-47.096195
Sapucaí-Mirim,-22.740899,-45.737958
Senador Amaral,-22.586897,-46.176329
Senador José Bento,-22.163327,-46.179226
Seritinga,-21.913367,-44.517965
Serrania,-21.544145,-46.041701
Serranos,-21.88573,-44.512487
Silvianópolis,-22.02741,-45.838517
Soledade de Minas,-22.055432,-45.046417
Tocos do Moji,-22.369797,-46.097067
Toledo,-22.742133,-46.372772
Três Corações,-21.692091,-45.251117
Três Pontas,-21.36944,-45.510886
Turvolândia,-21.873342,-45.785948
Vargem Bonita,-20.333265,-46.368824
Varginha,-21.555581,-45.436424
Virgínia,-22.326424,-45.096463
Wenceslau Braz,-22.536836,-45.362636
