Cidade,latitude,longitude
Abadia dos Dourados,-18.483101,-47.391623
Abaeté,-19.155125,-45.444413
Abre Campo,-20.299647,-42.474304
Acaiaca,-20.359034,-43.143867
Aguanil,-20.943942,-45.391456
Aimorés,-19.500684,-41.074651
Aiuruoca,-21.973608,-44.604212
Alagoa,-22.170976,-44.641344
Albertina,-22.201775,-46.613912
Alfenas,-21.425629,-45.947727
Alfredo Vasconcelos,-21.153521,-43.771767
Almenara,-16.178459,-40.694163
Alpercata,-18.973994,-41.969998
Alpinópolis,-20.863059,-46.387797
Alterosa,-21.248752,-46.138666
Alto Caparaó,-20.43098,-41.873772
Alto Jequitibá,-20.420845,-41.966988
Alto Rio Doce,-21.028122,-43.406683
Alvarenga,-19.417403,-41.73174
Alvinópolis,-20.109771,-43.053487
Alvorada de Minas,-18.733362,-43.363807
Além Paraíba,-21.879703,-42.717588
Amparo da Serra,-20.505068,-42.800868
Andradas,-22.069487,-46.572372
Andrelândia,-21.741088,-44.31169
Angelândia,-17.727938,-42.264123
Antônio Carlos,-21.321031,-43.74513
Antônio Dias,-19.649096,-42.873243
Antônio Prado de Minas,-21.019183,-42.110937
Aracitaba,-21.344619,-43.37362
Araguari,-18.645575,-48.193392
Arantina,-21.910171,-44.255519
Araponga,-20.668608,-42.51785
Araporã,-18.435727,-49.184746
Arapuá,-19.026816,-46.148403
Araxá,-19.590176,-46.943804
Araçaí,-19.195507,-44.249309
Araçuaí,-16.85232,-42.0637
Araújos,-19.940519,-45.167115
Arceburgo,-21.358984,-46.940056
Arcos,-20.286333,-45.537345
Areado,-21.357186,-46.142071
Argirita,-21.60827,-42.829162
Aricanduva,-17.866642,-42.553263
Arinos,-15.918743,-46.104324
Astolfo Dutra,-21.318439,-42.857204
Ataléia,-18.043805,-41.114901
Augusto de Lima,-18.099714,-44.265523
Açucena,-19.067105,-42.541881
Baependi,-21.956994,-44.887426
Baldim,-19.283197,-43.961331
Bambuí,-20.016618,-45.97537
Bandeira,-15.878315,-40.562163
Bandeira do Sul,-21.730798,-46.383347
Barbacena,-21.221446,-43.770266
Barra Longa,-20.286866,-43.040168
Barroso,-21.190659,-43.972039
Barão de Cocais,-19.938943,-43.475524
Barão de Monte Alto,-21.244403,-42.237185
Bela Vista de Minas,-19.83021,-43.092164
Belmiro Braga,-21.943992,-43.408419
Belo Horizonte,-19.910183,-43.926572
Belo Oriente,-19.219906,-42.482795
Belo Vale,-20.407725,-44.027462
Berilo,-16.95669,-42.46062
Berizal,-15.610028,-41.743202
Bertópolis,-17.059009,-40.579973
Betim,-19.966827,-44.200775
Bias Fortes,-21.601961,-43.757366
Bicas,-21.723164,-43.055958
Biquinhas,-18.77541,-45.497372
Boa Esperança,-21.092723,-45.561203
Bocaina de Minas,-22.169687,-44.397181
Bocaiúva,-17.113544,-43.810433
Bom Despacho,-19.738621,-45.262167
Bom Jardim de Minas,-21.947875,-44.188498
Bom Jesus da Penha,-21.014786,-46.517369
Bom Jesus do Amparo,-19.70543,-43.478225
Bom Jesus do Galho,-19.836006,-42.316472
Bom Repouso,-22.467494,-46.144036
Bom Sucesso,-21.032875,-44.753745
Bonfim,-20.330215,-44.236565
Bonfinópolis de Minas,-16.568034,-45.983859
Bonito de Minas,-15.323129,-44.754267
Borda da Mata,-22.270701,-46.165349
Botelhos,-21.641157,-46.391006
Botumirim,-16.865741,-43.008578
Brasilândia de Minas,-16.999868,-46.00811
Brasília de Minas,-16.210382,-44.429897
Brasópolis,-22.470019,-45.612995
Braúnas,-19.05616,-42.709896
Brumadinho,-20.150989,-44.200675
Brás Pires,-20.841912,-43.240556
Bueno Brandão,-22.438321,-46.349102
Buenópolis,-17.874432,-44.177504
Bugre,-19.423063,-42.255184
Buritis,-15.621802,-46.422078
Buritizeiro,-17.365588,-44.960581
Cabeceira Grande,-16.03351,-47.086153
Cabo Verde,-21.469945,-46.391857
Cachoeira Dourada,-18.516147,-49.503876
Cachoeira da Prata,-19.520967,-44.454383
Cachoeira de Minas,-22.351107,-45.780866
Cachoeira de Pajeú,-15.968828,-41.494766
Caetanópolis,-19.297075,-44.418871
Caeté,-19.88261,-43.670353
Caiana,-20.695579,-41.929208
Cajuri,-20.790301,-42.792504
Caldas,-21.918309,-46.384314
Camacho,-20.629367,-45.159327
Camanducaia,-22.751534,-46.149444
Cambuquira,-21.853985,-45.289572
Cambuí,-22.611537,-46.057228
Campanha,-21.835977,-45.400394
Campanário,-18.24271,-41.735506
Campestre,-21.707874,-46.23808
Campina Verde,-19.53815,-49.486247
Campo Azul,-16.502805,-44.809624
Campo Belo,-20.893182,-45.269892
Campo Florido,-19.763085,-48.571623
Campo do Meio,-21.112735,-45.827333
Campos Altos,-19.691378,-46.172545
Campos Gerais,-21.237025,-45.7569
Cana Verde,-21.023207,-45.180062
Canaã,-20.686889,-42.616676
Candeias,-20.769222,-45.276465
Cantagalo,-18.524772,-42.622259
Canápolis,-18.721229,-49.20355
Caparaó,-20.528897,-41.906063
Capela Nova,-20.917906,-43.621961
