Cidade,latitude,longitude
APPA Antonina,-25.446055876944897,-48.694330134012525
Abatiá,-23.304863,-50.313281
Adrianópolis,-24.660607,-48.992164
Agudos do Sul,-25.9899,-49.334293
Almirante Tamandaré,-25.318819,-49.303733
Altamira do Paraná,-24.798293,-52.712829
Alto Paraná,-23.131247,-52.318893
Alto Paraíso,-23.508137,-53.728537
Alto Piquiri,-24.022427,-53.440045
Altônia,-23.875916,-53.895809
Alvorada do Sul,-22.781282,-51.229709
Amaporã,-23.094272,-52.786597
Ampére,-25.916791,-53.46864
Anahy,-24.644865,-53.133235
Andirá,-23.053267,-50.230359
Antonina,-25.438597,-48.719113
Antônio Olinto,-25.98038,-50.197183
Apucarana,-23.549961,-51.463486
Arapongas,-23.415296,-51.42592
Arapoti,-24.154798,-49.828453
Arapuã,-24.313181,-51.785637
Araruna,-23.9315,-52.502101
Araucária,-25.585939,-49.404748
Ariranha do Ivaí,-24.385708,-51.583935
Assaí,-23.369679,-50.845925
Assis Chateaubriand,-24.416826,-53.521327
Astorga,-23.231827,-51.666777
Atalaia,-23.151721,-52.055096
Baixo Iguaçu,-25.50484744970921,-53.67439057115962
Balsa Nova,-25.58037,-49.629079
Bandeirantes,-23.107788,-50.370407
Barbosa Ferraz,-24.033382,-52.003963
Barra do Jacaré,-23.116041,-50.184162
Barracão,-26.25023,-53.632385
Bela Vista da Caroba,-25.884179,-53.672505
Bela Vista do Paraíso,-22.993653,-51.192657
Bituruna,-26.160746,-51.551792
Boa Esperança,-24.246738,-52.78756
Boa Esperança do Iguaçu,-25.632435,-53.210818
Boa Ventura de São Roque,-24.868797,-51.627612
Boa Vista da Aparecida,-25.430755,-53.411694
Bocaiúva do Sul,-25.206591,-49.114131
Bom Jesus do Sul,-26.195802,-53.595493
Bom Sucesso,-23.706313,-51.767056
Bom Sucesso do Sul,-26.073113,-52.835297
Borrazópolis,-23.936607,-51.587507
Braganey,-24.81734,-53.121787
Brasilândia do Sul,-24.197762,-53.527527
Cafeara,-22.78905,-51.714195
Cafelândia,-24.618862,-53.320705
Cafezal do Sul,-23.900508,-53.512418
Califórnia,-23.656587,-51.357367
Cambará,-23.042273,-50.075281
Cambira,-23.589018,-51.579152
Cambé,-23.276575,-51.279832
Campina Grande do Sul,-25.30439,-49.055096
Campina da Lagoa,-24.589323,-52.79759
Campina do Simão,-25.080171,-51.82371
Campo Bonito,-25.029445,-52.993933
Campo Largo,-25.452535,-49.529026
Campo Magro,-25.368685,-49.450092
Campo Mourão,-24.046329,-52.37802
Campo do Tenente,-25.980014,-49.684364
Candói,-25.575847,-52.040876
Cantagalo,-25.373359,-52.119818
Capanema,-25.669099,-53.805508
Capitão Leônidas Marques,-25.481645,-53.611238
Carambeí,-24.915237,-50.098624
Carlópolis,-23.426897,-49.723486
Cascavel,-24.957301,-53.459005
Castro,-24.789086,-50.010767
Catanduvas,-25.204356,-53.154826
Centenário do Sul,-22.818764,-51.597268
Cerro Azul,-24.822128,-49.253626
Chopinzinho,-25.851546,-52.517293
Cianorte,-23.659859,-52.605444
Cidade Gaúcha,-23.377186,-52.943575
Clevelândia,-26.404288,-52.350794
Colombo,-25.292487,-49.22616
