Município,Área Territorial - km² [2022],População residente - pessoas [2022],Densidade demográfica - hab/km² [2022],PIB per capita - R$ [2021]
Adamantina,411.987,34687.0,84.19,38997.12
Adolfo,211.055,4351.0,20.62,32578.28
Aguaí,474.554,32072.0,67.58,35551.7
Águas da Prata,142.673,7369.0,51.65,25297.02
Águas de Lindóia,60.126,17930.0,298.21,30971.23
Águas de Santa Bárbara,404.463,7177.0,17.74,35378.64
Águas de São Pedro,3.612,2780.0,769.66,41208.23
Agudos,966.708,37680.0,38.98,70209.74
Alambari,159.6,6141.0,38.48,20765.46
Alfredo Marcondes,118.915,4445.0,37.38,28649.11
Altair,313.007,3451.0,11.03,26662.17
Altinópolis,928.956,16818.0,18.1,51377.61
Alto Alegre,318.574,3841.0,12.06,27853.08
Alumínio,83.619,17301.0,206.9,210670.96
Álvares Florence,362.411,3915.0,10.8,34389.1
Álvares Machado,347.647,27255.0,78.4,28306.72
Álvaro de Carvalho,153.662,4808.0,31.29,11012.49
Alvinlândia,84.879,2885.0,33.99,17965.24
Americana,133.912,237240.0,1771.61,62271.47
Américo Brasiliense,122.958,33019.0,268.54,29617.13
Américo de Campos,252.876,5870.0,23.21,21158.4
Amparo,445.323,68008.0,152.72,70437.56
Analândia,325.953,4589.0,14.08,40726.1
Andradina,964.226,59783.0,62.0,49703.65
Angatuba,1027.288,24022.0,23.38,57306.48
Anhembi,736.557,5674.0,7.7,24534.54
Anhumas,320.84,4023.0,12.54,25316.58
Aparecida,120.89,32569.0,269.41,28750.03
Aparecida d'Oeste,179.004,4086.0,22.83,36763.62
Apiaí,974.322,24585.0,25.23,37278.88
Araçariguama,145.204,21522.0,148.22,206250.44
Araçatuba,1167.126,200124.0,171.47,45268.6
Araçoiaba da Serra,255.305,32443.0,127.08,34075.1
Aramina,202.829,5420.0,26.72,26415.31
Arandu,285.908,6885.0,24.08,30569.27
Arapeí,156.903,2330.0,14.85,18584.03
Araraquara,1003.625,242228.0,241.35,49692.93
Araras,644.831,130866.0,202.95,50772.4
Arco-Íris,264.904,2044.0,7.72,35382.28
Arealva,506.226,8130.0,16.06,26206.9
Areias,305.227,3577.0,11.72,14877.99
Areiópolis,85.907,10130.0,117.92,14577.19
Ariranha,132.624,7602.0,57.32,115410.74
Artur Nogueira,178.026,51456.0,289.04,30610.29
Arujá,96.167,86678.0,901.33,89703.63
Aspásia,69.373,1842.0,26.55,21788.35
Assis,460.609,101409.0,220.16,38598.78
Atibaia,478.521,158647.0,331.54,57512.36
Auriflama,434.498,13692.0,31.51,23409.76
Avaí,540.689,4483.0,8.29,68793.46
Avanhandava,338.37,11263.0,33.29,14178.27
Avaré,1213.055,92805.0,76.51,35721.22
Bady Bassitt,110.372,27260.0,246.98,30636.12
Balbinos,91.635,3887.0,42.42,10674.14
Bálsamo,149.881,9596.0,64.02,30257.55
Bananal,616.429,9969.0,16.17,19568.66
Barão de Antonina,153.142,3531.0,23.06,21264.23
Barbosa,205.212,5640.0,27.48,14488.16
Bariri,444.405,31595.0,71.1,45290.86
Barra Bonita,150.121,34346.0,228.79,41955.79
Barra do Chapéu,405.681,5179.0,12.77,23082.16
Barra do Turvo,1007.684,6876.0,6.82,16542.32
Barretos,1566.161,122485.0,78.21,47783.95
Barrinha,146.025,32092.0,219.77,18630.66
Barueri,65.701,316473.0,4816.87,207460.98
Bastos,170.912,21503.0,125.81,50936.28
Batatais,849.526,58402.0,68.75,38097.08
Bauru,667.684,379146.0,567.85,43806.93
Bebedouro,683.192,76373.0,111.79,52575.43
Bento de Abreu,301.687,2606.0,8.64,69504.55
Bernardino de Campos,244.158,11607.0,47.54,33842.25
Bertioga,491.546,64188.0,130.58,31255.51
Bilac,158.025,7319.0,46.32,35693.15
Birigui,530.031,118979.0,224.48,31305.12
Biritiba Mirim,317.406,29683.0,93.52,29190.32
Boa Esperança do Sul,690.748,12978.0,18.79,25197.09
Bocaina,363.926,11259.0,30.94,22429.71
Bofete,653.541,10460.0,16.01,17546.39
Boituva,248.954,61081.0,245.35,53597.04
Bom Jesus dos Perdões,108.366,22006.0,203.07,55196.42
Bom Sucesso de Itararé,133.578,3555.0,26.61,15912.41
Borá,118.951,907.0,7.62,88432.72
Boracéia,122.11,4715.0,38.61,105669.34
Borborema,552.256,14226.0,25.76,31833.29
Borebi,347.989,2713.0,7.8,27255.19
Botucatu,1482.642,145155.0,97.9,39937.48
Bragança Paulista,512.584,176811.0,344.94,46153.09
Braúna,195.176,5356.0,27.44,20826.02
Brejo Alegre,105.689,2565.0,24.27,25996.26
Brodowski,278.458,25201.0,90.5,34947.5
Brotas,1101.373,23898.0,21.7,45209.02
Buri,1196.463,20250.0,16.92,34121.21
Buritama,326.921,17210.0,52.64,36037.97
Buritizal,266.42,4356.0,16.35,53769.11
Cabrália Paulista,239.974,4299.0,17.91,24368.03
Cabreúva,260.234,47011.0,180.65,116591.7
Caçapava,368.99,96202.0,260.72,54458.95
Cachoeira Paulista,287.99,31564.0,109.6,19914.05
Caconde,468.214,17101.0,36.52,30182.07
Cafelândia,920.28,16654.0,18.1,38094.8
Caiabu,253.352,3712.0,14.65,16640.38
