Município,Domicílios recenseados (Domicílios),Domicílios recenseados (Domicílios).1,Domicílios recenseados (Domicílios).2,Domicílios recenseados (Domicílios).3,Domicílios recenseados (Domicílios).4,Domicílios recenseados (Domicílios).5,Domicílios recenseados (Domicílios).6,Domicílios recenseados (Domicílios).7,Domicílios recenseados (Domicílios).8,Domicílios recenseados (Domicílios).9,Domicílios recenseados (Domicílios).10,Domicílios recenseados (Domicílios).11,Domicílios recenseados (Domicílios).12
Minas Gerais,9574412.0,9560549.0,9555440.0,7532922.0,7328434.0,204488,2022518.0,1204099.0,818419.0,5109,13863,4900,8963
Abadia dos Dourados,3477.0,3475.0,3474.0,2579.0,2545.0,34,895.0,412.0,483.0,1,2,-,2
Abaeté,12156.0,12144.0,12143.0,9026.0,8942.0,84,3117.0,1185.0,1932.0,1,12,7,5
Abre Campo,6566.0,6558.0,6555.0,4896.0,4848.0,48,1659.0,1074.0,585.0,3,8,3,5
Acaiaca,2056.0,2043.0,2043.0,1507.0,1480.0,27,536.0,281.0,255.0,-,13,-,13
Açucena,4536.0,4530.0,4503.0,3285.0,3282.0,3,1218.0,783.0,435.0,27,6,4,2
Água Boa,6500.0,6497.0,6497.0,4467.0,4466.0,1,2030.0,1313.0,717.0,-,3,2,1
Água Comprida,1469.0,1468.0,1468.0,822.0,814.0,8,646.0,103.0,543.0,-,1,1,-
Aguanil,2812.0,2811.0,2811.0,1622.0,1616.0,6,1189.0,374.0,815.0,-,1,1,-
Águas Formosas,8241.0,8234.0,8233.0,6600.0,6540.0,60,1633.0,892.0,741.0,1,7,2,5
Águas Vermelhas,5300.0,5294.0,5293.0,4185.0,4183.0,2,1108.0,700.0,408.0,1,6,1,5
Aimorés,12587.0,12566.0,12563.0,9535.0,9325.0,210,3028.0,2368.0,660.0,3,21,10,11
Aiuruoca,3657.0,3637.0,3633.0,2481.0,2458.0,23,1152.0,452.0,700.0,4,20,3,17
Alagoa,1510.0,1504.0,1503.0,1024.0,1020.0,4,479.0,185.0,294.0,1,6,2,4
Albertina,1396.0,1396.0,1395.0,1034.0,1021.0,13,361.0,199.0,162.0,1,-,-,-
Além Paraíba,14797.0,14787.0,14773.0,11692.0,11480.0,212,3081.0,2261.0,820.0,14,10,5,5
Alfenas,38966.0,38930.0,38921.0,29127.0,27798.0,1329,9794.0,4575.0,5219.0,9,36,15,21
Alfredo Vasconcelos,3142.0,3142.0,3142.0,2464.0,2422.0,42,678.0,322.0,356.0,-,-,-,-
Almenara,18366.0,18347.0,18295.0,14479.0,14436.0,43,3816.0,2164.0,1652.0,52,19,8,11
Alpercata,3862.0,3859.0,3859.0,2755.0,2747.0,8,1104.0,725.0,379.0,-,3,3,-
Alpinópolis,8399.0,8393.0,8392.0,6594.0,6547.0,47,1798.0,838.0,960.0,1,6,2,4
Alterosa,7371.0,7366.0,7365.0,5280.0,5186.0,94,2085.0,820.0,1265.0,1,5,2,3
Alto Caparaó,2866.0,2850.0,2843.0,2176.0,2096.0,80,667.0,403.0,264.0,7,16,4,12
Alto Rio Doce,5671.0,5667.0,5667.0,3990.0,3958.0,32,1677.0,868.0,809.0,-,4,2,2
Alvarenga,2256.0,2252.0,2252.0,1540.0,1471.0,69,712.0,478.0,234.0,-,4,1,3
Alvinópolis,7113.0,7104.0,7103.0,5592.0,5401.0,191,1511.0,859.0,652.0,1,9,3,6
Alvorada de Minas,1952.0,1951.0,1950.0,1366.0,1338.0,28,584.0,242.0,342.0,1,1,-,1
Amparo do Serra,2097.0,2095.0,2093.0,1574.0,1568.0,6,519.0,354.0,165.0,2,2,1,1
Andradas,18785.0,18772.0,18766.0,15156.0,14585.0,571,3610.0,2045.0,1565.0,6,13,10,3
Cachoeira de Pajeú,4192.0,4184.0,4183.0,2928.0,2922.0,6,1255.0,787.0,468.0,1,8,1,7
Andrelândia,6801.0,6773.0,6773.0,4523.0,4443.0,80,2250.0,877.0,1373.0,-,28,2,26
Angelândia,3391.0,3389.0,3388.0,2607.0,2607.0,-,781.0,563.0,218.0,1,2,1,1
Antônio Carlos,5485.0,5479.0,5479.0,4073.0,3966.0,107,1406.0,730.0,676.0,-,6,3,3
Antônio Dias,4863.0,4841.0,4836.0,3210.0,3141.0,69,1626.0,638.0,988.0,5,22,2,20
Antônio Prado de Minas,828.0,827.0,827.0,599.0,598.0,1,228.0,123.0,105.0,-,1,1,-
Araçaí,1428.0,1426.0,1425.0,826.0,820.0,6,599.0,183.0,416.0,1,2,-,2
Aracitaba,1211.0,1210.0,1209.0,854.0,847.0,7,355.0,117.0,238.0,1,1,-,1
Araçuaí,15703.0,15681.0,15678.0,12188.0,11984.0,204,3490.0,2255.0,1235.0,3,22,9,13
Araguari,55313.0,55246.0,55200.0,44069.0,43862.0,207,11131.0,6445.0,4686.0,46,67,34,33
Arantina,1714.0,1701.0,1701.0,1112.0,1106.0,6,589.0,184.0,405.0,-,13,-,13
Araponga,3669.0,3664.0,3661.0,2862.0,2858.0,4,799.0,510.0,289.0,3,5,1,4
Araporã,3365.0,3365.0,3360.0,2878.0,2756.0,122,482.0,252.0,230.0,5,-,-,-
Arapuá,1387.0,1386.0,1386.0,1045.0,995.0,50,341.0,154.0,187.0,-,1,1,-
Araújos,4314.0,4312.0,4310.0,3354.0,3313.0,41,956.0,396.0,560.0,2,2,2,-
Araxá,47752.0,47601.0,47580.0,40329.0,39424.0,905,7251.0,4843.0,2408.0,21,151,38,113
Arceburgo,4120.0,4118.0,4117.0,3368.0,3215.0,153,749.0,456.0,293.0,1,2,1,1
Arcos,19291.0,19251.0,19238.0,15058.0,14317.0,741,4180.0,2166.0,2014.0,13,40,4,36
Areado,6937.0,6922.0,6920.0,5102.0,5093.0,9,1818.0,986.0,832.0,2,15,4,11
Argirita,1452.0,1452.0,1451.0,1012.0,970.0,42,439.0,262.0,177.0,1,-,-,-
Aricanduva,2212.0,2209.0,2208.0,1676.0,1671.0,5,532.0,300.0,232.0,1,3,1,2
Arinos,8327.0,8303.0,8293.0,6166.0,5914.0,252,2127.0,1149.0,978.0,10,24,4,20
Astolfo Dutra,6224.0,6215.0,6212.0,5177.0,4973.0,204,1035.0,712.0,323.0,3,9,3,6
Ataléia,6589.0,6583.0,6579.0,4948.0,4942.0,6,1631.0,1130.0,501.0,4,6,4,2
Augusto de Lima,2645.0,2639.0,2637.0,1707.0,1702.0,5,930.0,415.0,515.0,2,6,1,5
Baependi,8948.0,8924.0,8920.0,6787.0,6712.0,75,2133.0,967.0,1166.0,4,24,12,12
Baldim,4923.0,4915.0,4913.0,2935.0,2834.0,101,1978.0,719.0,1259.0,2,8,4,4
Bambuí,13313.0,13283.0,13278.0,9593.0,9352.0,241,3685.0,1597.0,2088.0,5,30,12,18
Bandeira,2202.0,2200.0,2195.0,1754.0,1754.0,-,441.0,207.0,234.0,5,2,1,1
Bandeira do Sul,2871.0,2868.0,2867.0,2232.0,2226.0,6,635.0,347.0,288.0,1,3,-,3
Barão de Cocais,13638.0,13521.0,13516.0,10617.0,10485.0,132,2899.0,1769.0,1130.0,5,117,5,112
Barão de Monte Alto,2705.0,2704.0,2704.0,1896.0,1894.0,2,808.0,467.0,341.0,-,1,1,-
Barbacena,56122.0,56040.0,56004.0,46664.0,44518.0,2146,9340.0,6132.0,3208.0,36,82,55,27
Barra Longa,2933.0,2933.0,2929.0,2017.0,1943.0,74,912.0,495.0,417.0,4,-,-,-
Barroso,8750.0,8743.0,8742.0,7290.0,7055.0,235,1452.0,955.0,497.0,1,7,2,5
Bela Vista de Minas,4106.0,4103.0,4101.0,3595.0,3422.0,173,506.0,345.0,161.0,2,3,-,3
Belmiro Braga,1876.0,1872.0,1871.0,1171.0,1117.0,54,700.0,308.0,392.0,1,4,-,4
Belo Horizonte,1027170.0,1025822.0,1025280.0,889584.0,862501.0,27083,135696.0,109056.0,26640.0,542,1348,857,491
Belo Oriente,10029.0,10020.0,10017.0,8096.0,8058.0,38,1921.0,1313.0,608.0,3,9,1,8
Belo Vale,4979.0,4964.0,4962.0,3244.0,3204.0,40,1718.0,563.0,1155.0,2,15,4,11
Berilo,5260.0,5257.0,5257.0,3569.0,3552.0,17,1688.0,1085.0,603.0,-,3,1,2
Bertópolis,2013.0,2011.0,2010.0,1499.0,1496.0,3,511.0,291.0,220.0,1,2,2,-
Berizal,1905.0,1905.0,1898.0,1392.0,1392.0,-,506.0,304.0,202.0,7,-,-,-
Betim,176266.0,176188.0,176133.0,146863.0,141474.0,5389,29270.0,22692.0,6578.0,55,78,38,40
Bias Fortes,1860.0,1859.0,1859.0,1275.0,1264.0,11,584.0,333.0,251.0,-,1,1,-
Bicas,6866.0,6861.0,6858.0,5463.0,5409.0,54,1395.0,904.0,491.0,3,5,3,2
Biquinhas,1400.0,1398.0,1398.0,1027.0,1018.0,9,371.0,175.0,196.0,-,2,-,2
Boa Esperança,17576.0,17547.0,17537.0,13804.0,13706.0,98,3733.0,2050.0,1683.0,10,29,9,20
Bocaina de Minas,4552.0,4469.0,4466.0,2211.0,2150.0,61,2255.0,757.0,1498.0,3,83,9,74
Bocaiúva,22533.0,22513.0,22502.0,16839.0,16675.0,164,5663.0,2644.0,3019.0,11,20,7,13
Bom Despacho,25040.0,25021.0,25021.0,19174.0,18281.0,893,5847.0,2949.0,2898.0,-,19,9,10
Bom Jardim de Minas,4212.0,4203.0,4200.0,2680.0,2672.0,8,1520.0,618.0,902.0,3,9,2,7
Bom Jesus da Penha,2250.0,2248.0,2248.0,1644.0,1617.0,27,604.0,326.0,278.0,-,2,1,1
Bom Jesus do Amparo,3161.0,3156.0,3155.0,1974.0,1946.0,28,1181.0,450.0,731.0,1,5,1,4
Bom Jesus do Galho,8116.0,8115.0,8111.0,5560.0,5453.0,107,2551.0,1447.0,1104.0,4,1,1,-
Bom Repouso,5246.0,5243.0,5241.0,4472.0,4472.0,-,769.0,498.0,271.0,2,3,1,2
Bom Sucesso,8558.0,8553.0,8551.0,6375.0,6158.0,217,2176.0,928.0,1248.0,2,5,2,3
Bonfim,5863.0,5858.0,5856.0,3054.0,3033.0,21,2802.0,677.0,2125.0,2,5,1,4
Bonfinópolis de Minas,2977.0,2940.0,2930.0,2094.0,2086.0,8,836.0,406.0,430.0,10,37,10,27
Bonito de Minas,4346.0,4340.0,4338.0,3041.0,3017.0,24,1297.0,580.0,717.0,2,6,-,6
Borda da Mata,8164.0,8159.0,8153.0,6663.0,6416.0,247,1490.0,763.0,727.0,6,5,1,4
Botelhos,7564.0,7558.0,7553.0,5605.0,5577.0,28,1948.0,1120.0,828.0,5,6,4,2
Botumirim,3347.0,3340.0,3335.0,2086.0,2083.0,3,1249.0,540.0,709.0,5,7,1,6
Brasilândia de Minas,6850.0,6826.0,6823.0,5255.0,5227.0,28,1568.0,776.0,792.0,3,24,1,23
Brasília de Minas,14359.0,14346.0,14343.0,10748.0,10745.0,3,3595.0,1958.0,1637.0,3,13,4,9
Brás Pires,2442.0,2439.0,2437.0,1634.0,1594.0,40,803.0,324.0,479.0,2,3,3,-
Braúnas,2254.0,2251.0,2250.0,1604.0,1603.0,1,646.0,375.0,271.0,1,3,2,1
Brazópolis,7573.0,7560.0,7556.0,5441.0,5389.0,52,2115.0,918.0,1197.0,4,13,4,9
